0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:39 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 200 7615
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:39 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663440399728 HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:39 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663440399729 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:42 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 11016
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:43 +0900] "GET /Cinema/userinfo/dreserve?id=5 HTTP/1.1" 200 11902
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:43 +0900] "GET /Cinema/css/checkSeat.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:43 +0900] "GET /Cinema/js/reserveBySeat.js HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:44 +0900] "GET /Cinema/myreserve/detail?id=5&page=0&_=1663440404064 HTTP/1.1" 200 7691
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:49 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 11016
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:50 +0900] "GET /Cinema/userinfo/dreserve?id=5 HTTP/1.1" 200 11902
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:50 +0900] "GET /Cinema/css/checkSeat.css HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:50 +0900] "GET /Cinema/js/reserveBySeat.js HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:50 +0900] "GET /Cinema/myreserve/detail?id=5&page=0&_=1663440410313 HTTP/1.1" 200 7691
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:52 +0900] "GET /Cinema/userinfo/resdetail?id=29 HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:52 +0900] "GET /Cinema/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:52 +0900] "GET /Cinema/css/resdetail.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:52 +0900] "GET /Cinema/css/resdetail2.css HTTP/1.1" 200 171533
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:52 +0900] "GET /Cinema/js/qrcode.js HTTP/1.1" 200 33168
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:58 +0900] "GET /Cinema/userinfo/resdetail?id=29 HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:59 +0900] "GET /Cinema/css/resdetail.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:59 +0900] "GET /Cinema/js/qrcode.js HTTP/1.1" 200 33168
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:59 +0900] "GET /Cinema/css/resdetail2.css HTTP/1.1" 200 171533
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:46:59 +0900] "GET /Cinema/js/jquery.min.js HTTP/1.1" 200 93637
